statement_id,date,description,amount,identified_partner,category
27,09.10.2023,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.97,ZEUS BODYPOWER,Gym
27,12.10.2023,PAYPAL DMEHUU,-60.73,PAYPAL,General
27,16.10.2023,KARTENZ./16.10 ALDI SUED RO,-141.34,ALDI SUED,Groceries
28,13.06.2025,ZALANDO MKTPLC EU FDDCBB,-203.34,ZALANDO,Shopping
28,16.06.2025,RECHNUNG VODAFONE GMBH 18324118,-39.8,VODAFONE GMBH,Internet
28,17.06.2025,ABSCHLAG STROM Stadtwerke Rosenheim 13899023,-83.95,Stadtwerke Rosenheim,Electricity
29,27.01.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.75,ZEUS BODYPOWER,Gym
29,31.01.2024,KARTENZAHLUNG SHELL TANKSTELLE,-47.51,SHELL,Fuel
29,04.02.2024,AMAZON.DE MKTPLC EU UCNZKE,-54.46,AMAZON.DE,Shopping
29,07.02.2024,BEITRAG Allianz SE K-37892561,-55.47,Allianz SE,Insurance
29,10.02.2024,ABSCHLAG STROM Stadtwerke Rosenheim 86351543,-83.8,Stadtwerke Rosenheim,Electricity
30,21.02.2024,BURGER KING Soest,-21.76,BURGER KING,Dining
30,25.02.2024,PAYPAL AYBKJN,-37.44,PAYPAL,General
30,28.02.2024,AMAZON.DE MKTPLC EU CEQMRW,-150.34,AMAZON.DE,Shopping
30,29.02.2024,BEITRAG Allianz SE K-55073539,-57.04,Allianz SE,Insurance
31,27.12.2024,KARTENZ./27.12 EDEKA RO,-79.35,EDEKA,Groceries
31,28.12.2024,BEITRAG Allianz SE K-67236422,-52.91,Allianz SE,Insurance
31,29.12.2024,AMAZON.DE MKTPLC EU JCCDXP,-86.83,AMAZON.DE,Shopping
32,07.10.2023,MCDONALDS Viechtach,-15.95,MCDONALDS,Dining
32,09.10.2023,KARTENZAHLUNG ARAL TANKSTELLE,-59.34,ARAL,Fuel
32,10.10.2023,RECHNUNG VODAFONE GMBH 44232469,-41.67,VODAFONE GMBH,Internet
33,23.02.2024,RECHNUNG VODAFONE GMBH 63577997,-37.6,VODAFONE GMBH,Internet
33,24.02.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.14,ZEUS BODYPOWER,Gym
33,27.02.2024,KARTENZAHLUNG SHELL TANKSTELLE,-70.48,SHELL,Fuel
33,29.02.2024,BEITRAG Allianz SE K-47431116,-54.03,Allianz SE,Insurance
33,03.03.2024,ABSCHLAG STROM Stadtwerke Rosenheim 77479917,-86.84,Stadtwerke Rosenheim,Electricity
34,03.06.2025,BEITRAG Allianz SE K-45725151,-54.62,Allianz SE,Insurance
34,06.06.2025,EBAY MKTPLC EU TRDJOD,-93.05,EBAY,Shopping
34,08.06.2025,RECHNUNG VODAFONE GMBH 46721599,-38.87,VODAFONE GMBH,Internet
34,11.06.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.64,ZEUS BODYPOWER,Gym
34,13.06.2025,ABSCHLAG STROM Stadtwerke Rosenheim 98041088,-87.31,Stadtwerke Rosenheim,Electricity
34,17.06.2025,MCDONALDS Saarlouis,-25.61,MCDONALDS,Dining
35,08.09.2024,PAYPAL RRCXZG,-72.43,PAYPAL,General
35,12.09.2024,KARTENZ./12.09 EDEKA RO,-33.03,EDEKA,Groceries
35,15.09.2024,ABSCHLAG STROM Stadtwerke Rosenheim 97801438,-86.0,Stadtwerke Rosenheim,Electricity
35,18.09.2024,KARTENZ./18.09 LIDL RO,-19.74,LIDL,Groceries
35,20.09.2024,KARTENZ./20.09 LIDL RO,-129.92,LIDL,Groceries
35,22.09.2024,KARTENZ./22.09 REWE RO,-21.64,REWE,Groceries
36,16.06.2025,MCDONALDS Dachau,-16.49,MCDONALDS,Dining
36,17.06.2025,KARTENZAHLUNG ARAL TANKSTELLE,-71.58,ARAL,Fuel
36,20.06.2025,ABSCHLAG STROM Stadtwerke Rosenheim 11881583,-87.77,Stadtwerke Rosenheim,Electricity
36,23.06.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.52,ZEUS BODYPOWER,Gym
36,26.06.2025,KARTENZAHLUNG JET TANKSTELLE,-64.83,JET,Fuel
36,29.06.2025,PAYPAL RFDWBF,-64.79,PAYPAL,General
37,26.03.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.87,ZEUS BODYPOWER,Gym
37,28.03.2024,AMAZON.DE MKTPLC EU RNAAEA,-233.9,AMAZON.DE,Shopping
37,29.03.2024,BEITRAG Allianz SE K-57342728,-57.36,Allianz SE,Insurance
37,02.04.2024,RECHNUNG VODAFONE GMBH 43123452,-41.95,VODAFONE GMBH,Internet
37,05.04.2024,ABSCHLAG STROM Stadtwerke Rosenheim 40290511,-87.67,Stadtwerke Rosenheim,Electricity
37,08.04.2024,KARTENZAHLUNG JET TANKSTELLE,-50.06,JET,Fuel
38,21.06.2025,KARTENZAHLUNG ARAL TANKSTELLE,-57.3,ARAL,Fuel
38,23.06.2025,BURGER KING Eckernförde,-29.22,BURGER KING,Dining
38,27.06.2025,ZALANDO MKTPLC EU YCEJDO,-43.3,ZALANDO,Shopping
38,28.06.2025,KARTENZ./28.06 LIDL RO,-117.91,LIDL,Groceries
38,01.07.2025,MCDONALDS Bersenbrück,-32.94,MCDONALDS,Dining
38,03.07.2025,BEITRAG Allianz SE K-72013808,-56.86,Allianz SE,Insurance
39,18.10.2024,RECHNUNG VODAFONE GMBH 62327998,-41.97,VODAFONE GMBH,Internet
39,19.10.2024,PAYPAL TSXSPI,-45.36,PAYPAL,General
39,22.10.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.14,ZEUS BODYPOWER,Gym
39,25.10.2024,ABSCHLAG STROM Stadtwerke Rosenheim 59560162,-84.34,Stadtwerke Rosenheim,Electricity
40,03.07.2024,BEITRAG Allianz SE K-10722420,-55.07,Allianz SE,Insurance
40,04.07.2024,KARTENZ./04.07 ALDI SUED RO,-81.56,ALDI SUED,Groceries
40,08.07.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.5,ZEUS BODYPOWER,Gym
40,12.07.2024,ABSCHLAG STROM Stadtwerke Rosenheim 69717726,-85.19,Stadtwerke Rosenheim,Electricity
40,13.07.2024,RECHNUNG VODAFONE GMBH 46256545,-40.24,VODAFONE GMBH,Internet
41,12.10.2024,KARTENZAHLUNG ARAL TANKSTELLE,-75.63,ARAL,Fuel
41,16.10.2024,MCDONALDS Tecklenburg,-8.72,MCDONALDS,Dining
41,20.10.2024,KARTENZ./20.10 LIDL RO,-17.16,LIDL,Groceries
41,23.10.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.89,ZEUS BODYPOWER,Gym
42,04.02.2025,KARTENZ./04.02 LIDL RO,-128.6,LIDL,Groceries
42,05.02.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.31,ZEUS BODYPOWER,Gym
42,06.02.2025,BEITRAG Allianz SE K-30733188,-56.45,Allianz SE,Insurance
42,09.02.2025,BURGER KING Geithain,-30.21,BURGER KING,Dining
42,10.02.2025,KARTENZAHLUNG SHELL TANKSTELLE,-46.79,SHELL,Fuel
43,27.12.2023,KARTENZ./27.12 LIDL RO,-16.39,LIDL,Groceries
43,31.12.2023,MCDONALDS Brilon,-18.8,MCDONALDS,Dining
43,02.01.2024,BEITRAG Allianz SE K-99371477,-56.99,Allianz SE,Insurance
44,12.07.2025,ABSCHLAG STROM Stadtwerke Rosenheim 3954591,-83.87,Stadtwerke Rosenheim,Electricity
44,16.07.2025,RECHNUNG VODAFONE GMBH 33900730,-39.76,VODAFONE GMBH,Internet
44,20.07.2025,KARTENZ./20.07 REWE RO,-95.32,REWE,Groceries
45,16.07.2025,BEITRAG Allianz SE K-57729601,-57.12,Allianz SE,Insurance
45,17.07.2025,PAYPAL ROGFRD,-46.55,PAYPAL,General
45,21.07.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.63,ZEUS BODYPOWER,Gym
46,23.12.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.95,ZEUS BODYPOWER,Gym
46,27.12.2024,BEITRAG Allianz SE K-24932818,-54.68,Allianz SE,Insurance
46,28.12.2024,ZALANDO MKTPLC EU WFAZII,-90.6,ZALANDO,Shopping
46,31.12.2024,KARTENZ./31.12 EDEKA RO,-76.6,EDEKA,Groceries
46,03.01.2025,KARTENZAHLUNG JET TANKSTELLE,-78.92,JET,Fuel
47,05.07.2024,ABSCHLAG STROM Stadtwerke Rosenheim 926863,-85.85,Stadtwerke Rosenheim,Electricity
47,08.07.2024,KARTENZ./08.07 LIDL RO,-147.15,LIDL,Groceries
47,10.07.2024,KARTENZAHLUNG SHELL TANKSTELLE,-45.93,SHELL,Fuel
48,21.06.2024,ABSCHLAG STROM Stadtwerke Rosenheim 65244081,-85.43,Stadtwerke Rosenheim,Electricity
48,25.06.2024,KARTENZAHLUNG ARAL TANKSTELLE,-65.61,ARAL,Fuel
48,26.06.2024,BEITRAG Allianz SE K-24405313,-54.88,Allianz SE,Insurance
49,16.09.2024,KARTENZAHLUNG JET TANKSTELLE,-89.28,JET,Fuel
49,20.09.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.83,ZEUS BODYPOWER,Gym
49,22.09.2024,KARTENZAHLUNG ARAL TANKSTELLE,-53.13,ARAL,Fuel
49,24.09.2024,BURGER KING Pößneck,-42.52,BURGER KING,Dining
49,27.09.2024,PAYPAL OUZMCP,-40.28,PAYPAL,General
49,28.09.2024,KARTENZ./28.09 LIDL RO,-125.63,LIDL,Groceries
50,25.11.2023,KARTENZ./25.11 EDEKA RO,-149.98,EDEKA,Groceries
50,27.11.2023,AMAZON.DE MKTPLC EU WWVXWO,-90.85,AMAZON.DE,Shopping
50,29.11.2023,PAYPAL XKKPAE,-86.77,PAYPAL,General
50,01.12.2023,BEITRAG Allianz SE K-30840954,-53.56,Allianz SE,Insurance
50,05.12.2023,ABSCHLAG STROM Stadtwerke Rosenheim 61990789,-87.46,Stadtwerke Rosenheim,Electricity
50,08.12.2023,RECHNUNG VODAFONE GMBH 55184783,-41.84,VODAFONE GMBH,Internet
51,03.01.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.25,ZEUS BODYPOWER,Gym
51,05.01.2025,PAYPAL ERGVGD,-77.95,PAYPAL,General
51,07.01.2025,KARTENZ./07.01 ALDI SUED RO,-52.14,ALDI SUED,Groceries
52,25.03.2025,RECHNUNG VODAFONE GMBH 18677314,-38.03,VODAFONE GMBH,Internet
52,29.03.2025,BEITRAG Allianz SE K-76895362,-57.51,Allianz SE,Insurance
52,02.04.2025,KARTENZAHLUNG ARAL TANKSTELLE,-46.6,ARAL,Fuel
52,04.04.2025,KARTENZ./04.04 LIDL RO,-116.62,LIDL,Groceries
53,24.04.2025,AMAZON.DE MKTPLC EU LEENXK,-247.65,AMAZON.DE,Shopping
53,25.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.42,ZEUS BODYPOWER,Gym
53,26.04.2025,RECHNUNG VODAFONE GMBH 67349,-42.23,VODAFONE GMBH,Internet
54,21.07.2024,PAYPAL VMRVBE,-22.67,PAYPAL,General
54,23.07.2024,KARTENZ./23.07 LIDL RO,-84.09,LIDL,Groceries
54,24.07.2024,BURGER KING Mellrichstadt,-33.02,BURGER KING,Dining
54,27.07.2024,KARTENZAHLUNG SHELL TANKSTELLE,-50.0,SHELL,Fuel
54,31.07.2024,RECHNUNG VODAFONE GMBH 45481583,-39.99,VODAFONE GMBH,Internet
54,01.08.2024,KARTENZAHLUNG JET TANKSTELLE,-64.27,JET,Fuel
55,11.01.2025,RECHNUNG VODAFONE GMBH 86537976,-41.39,VODAFONE GMBH,Internet
55,13.01.2025,PAYPAL GOFKKZ,-16.94,PAYPAL,General
55,14.01.2025,KARTENZ./14.01 REWE RO,-63.16,REWE,Groceries
55,16.01.2025,KARTENZ./16.01 EDEKA RO,-31.64,EDEKA,Groceries
55,19.01.2025,ZALANDO MKTPLC EU IEYHWY,-162.0,ZALANDO,Shopping
55,20.01.2025,KARTENZAHLUNG JET TANKSTELLE,-77.08,JET,Fuel
56,02.03.2025,BEITRAG Allianz SE K-4097343,-55.98,Allianz SE,Insurance
56,05.03.2025,RECHNUNG VODAFONE GMBH 86434328,-38.1,VODAFONE GMBH,Internet
56,06.03.2025,KARTENZ./06.03 REWE RO,-63.8,REWE,Groceries
56,07.03.2025,AMAZON.DE MKTPLC EU SZEJOQ,-148.11,AMAZON.DE,Shopping
57,24.04.2024,ABSCHLAG STROM Stadtwerke Rosenheim 32144291,-84.95,Stadtwerke Rosenheim,Electricity
57,26.04.2024,BEITRAG Allianz SE K-33763106,-57.46,Allianz SE,Insurance
57,29.04.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.93,ZEUS BODYPOWER,Gym
57,03.05.2024,MCDONALDS Viersen,-38.15,MCDONALDS,Dining
58,14.04.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.9,ZEUS BODYPOWER,Gym
58,17.04.2024,KARTENZAHLUNG ARAL TANKSTELLE,-58.42,ARAL,Fuel
58,19.04.2024,RECHNUNG VODAFONE GMBH 30815065,-38.95,VODAFONE GMBH,Internet
58,20.04.2024,ABSCHLAG STROM Stadtwerke Rosenheim 87358683,-84.86,Stadtwerke Rosenheim,Electricity
59,17.05.2024,ABSCHLAG STROM Stadtwerke Rosenheim 78428840,-84.45,Stadtwerke Rosenheim,Electricity
59,19.05.2024,BEITRAG Allianz SE K-88204127,-56.69,Allianz SE,Insurance
59,20.05.2024,KARTENZ./20.05 EDEKA RO,-124.51,EDEKA,Groceries
60,20.06.2024,AMAZON.DE MKTPLC EU ORONXD,-191.56,AMAZON.DE,Shopping
60,22.06.2024,AMAZON.DE MKTPLC EU GDNQXS,-78.33,AMAZON.DE,Shopping
60,25.06.2024,RECHNUNG VODAFONE GMBH 78336771,-41.3,VODAFONE GMBH,Internet
60,26.06.2024,PAYPAL UKMOQE,-48.56,PAYPAL,General
60,27.06.2024,BEITRAG Allianz SE K-82053496,-55.83,Allianz SE,Insurance
61,17.09.2024,BEITRAG Allianz SE K-89310533,-56.04,Allianz SE,Insurance
61,21.09.2024,ABSCHLAG STROM Stadtwerke Rosenheim 68057210,-86.28,Stadtwerke Rosenheim,Electricity
61,25.09.2024,KARTENZ./25.09 ALDI SUED RO,-127.55,ALDI SUED,Groceries
61,26.09.2024,RECHNUNG VODAFONE GMBH 71983496,-40.36,VODAFONE GMBH,Internet
61,27.09.2024,KARTENZAHLUNG SHELL TANKSTELLE,-73.33,SHELL,Fuel
62,07.12.2024,PAYPAL CFBHRJ,-13.17,PAYPAL,General
62,10.12.2024,PAYPAL ZJLEUA,-41.69,PAYPAL,General
62,14.12.2024,BEITRAG Allianz SE K-27490549,-56.28,Allianz SE,Insurance
63,13.11.2024,PAYPAL LDGAKP,-77.0,PAYPAL,General
63,16.11.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.05,ZEUS BODYPOWER,Gym
63,19.11.2024,ZALANDO MKTPLC EU EEPVKL,-53.13,ZALANDO,Shopping
63,22.11.2024,PAYPAL NJVJRV,-44.88,PAYPAL,General
64,18.06.2024,KARTENZAHLUNG ARAL TANKSTELLE,-60.97,ARAL,Fuel
64,20.06.2024,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.94,ZEUS BODYPOWER,Gym
64,24.06.2024,RECHNUNG VODAFONE GMBH 1794266,-40.41,VODAFONE GMBH,Internet
64,26.06.2024,BEITRAG Allianz SE K-51295472,-56.98,Allianz SE,Insurance
65,09.08.2025,KARTENZ./09.08 LIDL RO,-63.07,LIDL,Groceries
65,12.08.2025,RECHNUNG VODAFONE GMBH 21929341,-39.94,VODAFONE GMBH,Internet
65,16.08.2025,KARTENZ./16.08 REWE RO,-148.99,REWE,Groceries
66,27.01.2024,RECHNUNG VODAFONE GMBH 65769082,-39.36,VODAFONE GMBH,Internet
66,30.01.2024,KARTENZAHLUNG SHELL TANKSTELLE,-76.8,SHELL,Fuel
66,01.02.2024,KARTENZAHLUNG JET TANKSTELLE,-61.71,JET,Fuel
