statement_id,date,description,amount,identified_partner,category
31,12.04.2025,RECHNUNGVODAFONEGMBH63917362,-39.19,VODAFONE GMBH,Internet
31,13.04.2025,KARTENZ.13.04LIDLRO,-92.88,LIDL,Groceries
31,17.04.2025,EBAYMKTPLCEUGAYHLW,-222.84,EBAY,Shopping
33,11.11.2025,EBAYMKTPLCEUZBWMB,-29.28,EBAY,Shopping
33,14.11.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-22.64,ZEUS BODYPOWER,Gym
33,15.11.2025,ABSCHLAGSTROMStadtwerkeRosenheim31881002,-84.52,Stadtwerke Rosenheim,Electricity
33,19.11.2025,KARTENZAHLUNGSHELLTANKSTELLE,-63.26,SHELL,Fuel
34,18.06.2025,RECHNUNGVODAFONEGMBH1233299,-40.19,VODAFONE GMBH,Internet
34,21.06.2025,PAYPALGWHXVP,-77.63,PAYPAL,General
34,23.06.2025,KARTENZ.23.06REWERO,-120.54,REWE,Groceries
34,25.06.2025,EBAYMKTPLCEUONLVGJ,-116.18,EBAY,Shopping
34,27.06.2025,KARTENZAHLUNGJETTANKSTELLE,-71.46,JET,Fuel
34,30.06.2025,PAYPALPVWKKY,-82.67,PAYPAL,General
35,06.06.2025,KARTENZAHLUNGSHELLTANKSTELLE,-66.8,SHELL,Fuel
35,09.06.2025,PAYPALTPQZSU,-67.28,PAYPAL,General
35,11.06.2025,RECHNUNGVODAFONEGMBH85653843,-41.61,VODAFONE GMBH,Internet
38,13.02.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.43,ZEUS BODYPOWER,Gym
38,15.02.2025,BEITRAG Allianz SE K-13804417,-55.28,ALLIANZ SE,Insurance
38,19.02.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-50990671.0,Stadtwerke Rosenheim,Electricity
38,20.02.2025,RECHNUNG VODAFONE GMBH,-47173168.0,VODAFONE GMBH,Internet
38,22.02.2025,KARTENZAHLUNG ARAL TANKSTELLE,-57.39,ARAL,Fuel
38,24.02.2025,ZALANDO MKTPLC EU ZOEBRA,-123.06,ZALANDO,Shopping
39,01.07.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-24.22,ZEUS BODYPOWER,Gym
39,05.07.2025,ABSCHLAGSTROMStadtwerkeRosenheim99918609,-87.55,Stadtwerke Rosenheim,Electricity
39,09.07.2025,KARTENZAHLUNGJETTANKSTELLE,-77.41,JET,Fuel
39,10.07.2025,PAYPALKNLPBL,-81.74,PAYPAL,General
39,12.07.2025,KARTENZAHLUNGJETTANKSTELLE,-74.59,JET,Fuel
40,05.03.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-57977890.0,Stadtwerke Rosenheim,Electricity
40,09.03.2025,BURGER KING Teterow,-25.01,BURGER KING,Dining
40,11.03.2025,KARTENZ./11.03 EDEKA RO,-23.14,EDEKA,Groceries
40,14.03.2025,KARTENZAHLUNG ARAL TANKSTELLE,-47.86,ARAL,Fuel
40,17.03.2025,RECHNUNG VODAFONE GMBH,-69079913.0,VODAFONE GMBH,Internet
41,07.10.2025,AMAZON.DEMKTPLCEUVCGXQB,-167.45,AMAZON.DE,Shopping
41,10.10.2025,ABSCHLAGSTROMStadtwerkeRosenheim34769440,-87.9,Stadtwerke Rosenheim,Electricity
41,12.10.2025,BEITRAGAllianzSEK-29968446,-56.65,ALLIANZ SE,Insurance
41,13.10.2025,PAYPALHKUKYE,-61.03,PAYPAL,General
41,14.10.2025,KARTENZAHLUNGSHELLTANKSTELLE,-41.4,SHELL,Fuel
42,07.04.2025,BURGER KING Aachen,-14.3,BURGER KING,Dining
42,11.04.2025,BEITRAG Allianz SE K-40601870,-56.94,ALLIANZ SE,Insurance
42,12.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-26.94,ZEUS BODYPOWER,Gym
43,04.03.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-25.97,ZEUS BODYPOWER,Gym
43,07.03.2025,ABSCHLAGSTROMStadtwerkeRosenheim43440768,-84.91,Stadtwerke Rosenheim,Electricity
43,09.03.2025,BEITRAGAllianzSEK-50888282,-53.67,ALLIANZ SE,Insurance
43,12.03.2025,AMAZON.DEMKTPLCEUQFHVOP,-201.28,AMAZON.DE,Shopping
45,24.09.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-22.55,ZEUS BODYPOWER,Gym
45,25.09.2025,ABSCHLAGSTROMStadtwerkeRosenheim50212439,-87.38,Stadtwerke Rosenheim,Electricity
45,27.09.2025,KARTENZAHLUNGARALTANKSTELLE,-75.18,ARAL,Fuel
46,29.08.2025,PAYPALMGAEJR,-84.53,PAYPAL,General
46,02.09.2025,PAYPALAJZXON,-11.1,PAYPAL,General
46,03.09.2025,ZALANDOMKTPLCEUTBKFNF,-244.56,ZALANDO,Shopping
46,06.09.2025,ZALANDOMKTPLCEUXXFNEL,-109.9,ZALANDO,Shopping
46,08.09.2025,ZALANDOMKTPLCEUFMYGVP,-57.98,ZALANDO,Shopping
46,12.09.2025,RECHNUNGVODAFONEGMBH53532847,-38.62,VODAFONE GMBH,Internet
47,22.08.2025,KARTENZ.22.08REWERO,-108.79,REWE,Groceries
47,25.08.2025,RECHNUNGVODAFONEGMBH70389152,-41.12,VODAFONE GMBH,Internet
47,28.08.2025,BEITRAGAllianzSEK-13254487,-53.8,ALLIANZ SE,Insurance
47,29.08.2025,KARTENZAHLUNGARALTANKSTELLE,-81.37,ARAL,Fuel
48,27.12.2025,KARTENZAHLUNGSHELLTANKSTELLE,-54.74,SHELL,Fuel
48,31.12.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-25.38,ZEUS BODYPOWER,Gym
48,03.01.2025,ABSCHLAGSTROMStadtwerkeRosenheim52291765,-84.83,Stadtwerke Rosenheim,Electricity
49,24.08.2025,AMAZON.DEMKTPLCEUYORYTC,-165.29,AMAZON.DE,Shopping
49,25.08.2025,RECHNUNGVODAFONEGMBH69150050,-41.53,VODAFONE GMBH,Internet
49,27.08.2025,PAYPALGHPSIH,-50.45,PAYPAL,General
49,29.08.2025,BURGERKINGLichtenfels,-12.38,BURGER KING,Dining
49,30.08.2025,EBAYMKTPLCEUWWHGQK,-148.83,EBAY,Shopping
49,03.09.2025,BEITRAGAllianzSEK-77314451,-55.85,ALLIANZ SE,Insurance
51,21.10.2025,KARTENZAHLUNG JET TANKSTELLE,-43.73,JET,Fuel
51,25.10.2025,RECHNUNG VODAFONE GMBH,-56124404.0,VODAFONE GMBH,Internet
51,29.10.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-27208654.0,Stadtwerke Rosenheim,Electricity
53,08.02.2025,PAYPAL YVTYPI,-56.56,PAYPAL,General
53,12.02.2025,PAYPAL QFPOBW,-80.67,PAYPAL,General
53,13.02.2025,BURGER KING Bad Kissingen,-24.79,BURGER KING,Dining
53,16.02.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-51291310.0,Stadtwerke Rosenheim,Electricity
53,18.02.2025,EBAY MKTPLC EU PDFOIQ,-79.59,EBAY,Shopping
54,04.07.2025,KARTENZ.04.07REWERO,-129.75,REWE,Groceries
54,07.07.2025,KARTENZAHLUNGSHELLTANKSTELLE,-45.72,SHELL,Fuel
54,09.07.2025,KARTENZAHLUNGJETTANKSTELLE,-51.69,JET,Fuel
54,10.07.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-25.38,ZEUS BODYPOWER,Gym
56,07.08.2025,EBAYMKTPLCEUWJXDDU,-73.55,EBAY,Shopping
56,11.08.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.75,ZEUS BODYPOWER,Gym
56,15.08.2025,PAYPALZPCSBM,-16.28,PAYPAL,General
57,05.12.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-86682840.0,Stadtwerke Rosenheim,Electricity
57,09.12.2025,KARTENZAHLUNG ARAL TANKSTELLE,-51.84,ARAL,Fuel
57,13.12.2025,BEITRAG Allianz SE K-85382868,-52.75,ALLIANZ SE,Insurance
60,28.02.2025,KARTENZAHLUNG JET TANKSTELLE,-70.07,JET,Fuel
60,03.03.2025,RECHNUNG VODAFONE GMBH,-43113211.0,VODAFONE GMBH,Internet
60,05.03.2025,KARTENZ./05.03 LIDL RO,-33.21,LIDL,Groceries
60,07.03.2025,KARTENZAHLUNG SHELL TANKSTELLE,-85.0,SHELL,Fuel
60,10.03.2025,KARTENZ./10.03 LIDL RO,-78.27,LIDL,Groceries
60,14.03.2025,KARTENZAHLUNG JET TANKSTELLE,-70.32,JET,Fuel
61,01.12.2025,RECHNUNG VODAFONE GMBH,-39757935.0,VODAFONE GMBH,Internet
61,04.12.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-27.16,ZEUS BODYPOWER,Gym
61,06.12.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-20557663.0,Stadtwerke Rosenheim,Electricity
61,07.12.2025,ZALANDO MKTPLC EU BPIWNF,-196.55,ZALANDO,Shopping
61,10.12.2025,BEITRAG Allianz SE K-26929362,-55.32,ALLIANZ SE,Insurance
61,13.12.2025,BURGER KING Leipziger Land,-42.24,BURGER KING,Dining
62,23.12.2025,KARTENZ.23.12ALDISUEDRO,-129.11,ALDI SUED,Groceries
62,25.12.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-25.07,ZEUS BODYPOWER,Gym
62,28.12.2025,ABSCHLAGSTROMStadtwerkeRosenheim21687705,-85.22,Stadtwerke Rosenheim,Electricity
62,29.12.2025,EBAYMKTPLCEUDSJRKF,-147.64,EBAY,Shopping
63,22.04.2025,KARTENZAHLUNGSHELLTANKSTELLE,-73.68,SHELL,Fuel
63,24.04.2025,MCDONALDSKoblenz,-36.28,MCDONALDS,Dining
63,25.04.2025,RECHNUNGVODAFONEGMBH46437934,-42.46,VODAFONE GMBH,Internet
65,02.08.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-28269177.0,Stadtwerke Rosenheim,Electricity
65,05.08.2025,KARTENZAHLUNG JET TANKSTELLE,-42.67,JET,Fuel
65,06.08.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-26.71,ZEUS BODYPOWER,Gym
66,25.07.2025,KARTENZAHLUNGSHELLTANKSTELLE,-45.84,SHELL,Fuel
66,29.07.2025,PAYPALKTCUBR,-64.8,PAYPAL,General
66,31.07.2025,KARTENZ.f31.07EDEKARO,-89.24,EDEKA,Groceries
66,01.08.2025,AMAZON.DEMKTPLGEUPCKKTB,-138.69,AMAZON.DE,Shopping
66,05.08.2025,BEITRAGAllianzSEK-13194129,-53.4,ALLIANZ SE,Insurance
68,05.03.2025,RECHNUNGVODAFONEGMBH6064828,-37.5,VODAFONE GMBH,Internet
68,09.03.2025,BURGERKINGReutlingen,-18.49,BURGER KING,Dining
68,12.03.2025,ABSCHLAGSTROMStadtwerkeRosenheim10115381,-83.43,Stadtwerke Rosenheim,Electricity
69,19.04.2025,RECHNUNG VODAFONE GMBH,-11268334.0,VODAFONE GMBH,Internet
69,23.04.2025,AMAZON.DE MKTPLC EU VIDIDG,-89.39,AMAZON.DE,Shopping
69,26.04.2025,BEITRAG Allianz SE K-90393503,-53.48,ALLIANZ SE,Insurance
70,28.05.2025,KARTENZAHLUNGSHELLTANKSTELLE,-72.34,SHELL,Fuel
70,29.05.2025,RECHNUNGVODAFONEGMBH76134376,-38.09,VODAFONE GMBH,Internet
70,02.06.2025,AMAZON.DEMKTPLCEURQNVUD,-37.24,AMAZON.DE,Shopping
76,01.04.2025,MCDONALDS Rastatt,-25.71,MCDONALDS,Dining
76,02.04.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-72482709.0,Stadtwerke Rosenheim,Electricity
76,06.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-22.68,ZEUS BODYPOWER,Gym
77,20.07.2025,PAYPAL OOXCOG,-22.77,PAYPAL,General
77,23.07.2025,ABSCHLAG STROM Stadtwerke Rosenheim97607072,-85.11,Stadtwerke Rosenheim,Electricity
77,24.07.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-23.56,ZEUS BODYPOWER,Gym
78,16.08.2025,BURGER KING Melsungen,-16.26,BURGER KING,Dining
78,17.08.2025,BURGER KING Grafenhainichen,-31.35,BURGER KING,Dining
78,21.08.2025,MCDONALDS Duderstadt,-32.28,MCDONALDS,Dining
78,25.08.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.38,ZEUS BODYPOWER,Gym
79,23.09.2025,KARTENZ.423.09EDEKARO,-32.02,EDEKA,Groceries
79,27.09.2025,ABSCHLAGSTROMStadtwerkeRosenheim22395235,-84.32,Stadtwerke Rosenheim,Electricity
79,01.10.2025,ZALANDOMKTPLCEUMWFZLV,-86.19,ZALANDO,Shopping
79,03.10.2025,KARTENZAHLUNGJETTANKSTELLE,-84.74,JET,Fuel
79,04.10.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.14,ZEUS BODYPOWER,Gym
79,05.10.2025,RECHNUNGVODAFONEGMBH24542019,-40.14,VODAFONE GMBH,Internet
80,17.05.2025,KARTENZ.f17.05EDEKARO,-23.7,EDEKA,Groceries
80,20.05.2025,ABSCHLAGSTROMStadtwerkeRosenheim99408798,-85.33,Stadtwerke Rosenheim,Electricity
80,24.05.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-23.62,ZEUS BODYPOWER,Gym
80,25.05.2025,RECHNUNGVODAFONEGMBH19247829,-38.86,VODAFONE GMBH,Internet
81,14.10.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-30378371.0,Stadtwerke Rosenheim,Electricity
81,17.10.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.15,ZEUS BODYPOWER,Gym
81,20.10.2025,KARTENZ./20.10 REWE RO,-124.61,REWE,Groceries
83,10.07.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-5030065.0,Stadtwerke Rosenheim,Electricity
83,13.07.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-26.57,ZEUS BODYPOWER,Gym
83,14.07.2025,RECHNUNG VODAFONE GMBH,-65386143.0,VODAFONE GMBH,Internet
83,15.07.2025,BEITRAG Allianz SE K-25668205,-56.49,ALLIANZ SE,Insurance
83,19.07.2025,KARTENZAHLUNG JET TANKSTELLE,-84.68,JET,Fuel
84,12.03.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-33952110.0,Stadtwerke Rosenheim,Electricity
84,14.03.2025,AMAZON.DE MKTPLC EU NLQNLX,-145.81,AMAZON.DE,Shopping
84,16.03.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-26.85,ZEUS BODYPOWER,Gym
86,08.09.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.47,ZEUS BODYPOWER,Gym
86,11.09.2025,KARTENZ.11.09EDEKARO,-122.94,EDEKA,Groceries
86,13.09.2025,KARTENZ.13.09ALDISUEDRO,-74.08,ALDI SUED,Groceries
86,16.09.2025,RECHNUNGVODAFONEGMBH15625354,-39.28,VODAFONE GMBH,Internet
86,20.09.2025,KARTENZ.20.09LIDLRO,-24.95,LIDL,Groceries
90,16.12.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-28355051.0,Stadtwerke Rosenheim,Electricity
90,18.12.2025,ZALANDO MKTPLC EU VQPFHA,-101.7,ZALANDO,Shopping
90,22.12.2025,KARTENZAHLUNG JET TANKSTELLE,-56.84,JET,Fuel
91,13.07.2025,PAYPALYOXXQS,-14.11,PAYPAL,General
91,14.07.2025,BEITRAGAllianzSEK-33108938,-54.53,ALLIANZ SE,Insurance
91,18.07.2025,KARTENZAHLUNGARALTANKSTELLE,-88.37,ARAL,Fuel
91,21.07.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-24.42,ZEUS BODYPOWER,Gym
91,25.07.2025,KARTENZ.25.07EDEKARO,-147.63,EDEKA,Groceries
93,13.04.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.76,ZEUS BODYPOWER,Gym
93,14.04.2025,KARTENZ.14.04EDEKARO,-55.51,EDEKA,Groceries
93,18.04.2025,RECHNUNGVODAFONEGMBH91530168,-42.02,VODAFONE GMBH,Internet
94,12.02.2025,RECHNUNGVODAFONEGMBH21194493,-38.96,VODAFONE GMBH,Internet
94,14.02.2025,KARTENZ.14.02REWERO,-103.39,REWE,Groceries
94,15.02.2025,PAYPALHBCDLK,-63.16,PAYPAL,General
95,25.03.2025,KARTENZAHLUNGARALTANKSTELLE,-77.33,ARAL,Fuel
95,26.03.2025,MCDONALDSSchmolln,-12.37,MCDONALDS,Dining
95,30.03.2025,BEITRAGAllianzSEK-93773828,-55.33,ALLIANZ SE,Insurance
95,02.04.2025,MCDONALDSOranienburg,-13.71,MCDONALDS,Dining
97,12.10.2025,RECHNUNG VODAFONE GMBH,-34556042.0,VODAFONE GMBH,Internet
97,16.10.2025,KARTENZ./16.10 ALDI SUED RO,-15.06,ALDI SUED,Groceries
97,19.10.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-89371372.0,Stadtwerke Rosenheim,Electricity
99,16.03.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-24.61,ZEUS BODYPOWER,Gym
99,18.03.2025,BURGER KING Oschatz,-39.18,BURGER KING,Dining
99,21.03.2025,RECHNUNG VODAFONE GMBH,-82719065.0,VODAFONE GMBH,Internet
101,27.01.2025,BEITRAGAllianzSEK-12945226,-54.16,ALLIANZ SE,Insurance
101,29.01.2025,KARTENZ.29.01LIDLRO,-142.44,LIDL,Groceries
101,30.01.2025,BURGERKINGNeustadtamRubenberge,-13.67,BURGER KING,Dining
104,11.09.2025,MCDONALDSKlotze,-19.66,MCDONALDS,Dining
104,13.09.2025,BEITRAGAllianzSEK-25252211,-55.03,ALLIANZ SE,Insurance
104,16.09.2025,MCDONALDSDonaueschingen,-26.15,MCDONALDS,Dining
104,18.09.2025,PAYPALNEUSUO,-92.45,PAYPAL,General
107,19.06.2025,MCDONALDS Quedlinburg,-41.4,MCDONALDS,Dining
107,23.06.2025,RECHNUNG VODAFONE GMBH,-61192826.0,VODAFONE GMBH,Internet
107,26.06.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-22.52,ZEUS BODYPOWER,Gym
107,30.06.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-38446754.0,Stadtwerke Rosenheim,Electricity
108,25.04.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-1978932.0,Stadtwerke Rosenheim,Electricity
108,26.04.2025,KARTENZAHLUNG SHELL TANKSTELLE,-75.78,SHELL,Fuel
108,27.04.2025,BEITRAG Allianz SE K-76710437,-53.04,ALLIANZ SE,Insurance
108,28.04.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.77,ZEUS BODYPOWER,Gym
108,30.04.2025,PAYPAL JTGLAS,-14.44,PAYPAL,General
108,03.05.2025,RECHNUNG VODAFONE GMBH,-51557657.0,VODAFONE GMBH,Internet
109,28.05.2025,KARTENZ.28.05ALDISUEDRO,-97.08,ALDI SUED,Groceries
109,01.06.2025,MCDONALDSWurzen,-21.59,MCDONALDS,Dining
109,03.06.2025,ABSCHLAGSTROMStadtwerkeRosenheim49644414,-84.76,Stadtwerke Rosenheim,Electricity
109,04.06.2025,RECHNUNGVODAFONEGMBH89206057,-38.4,VODAFONE GMBH,Internet
110,20.10.2025,MITGLIEDSBEITRAG ZEUS BODYPOWER,-25.41,ZEUS BODYPOWER,Gym
110,24.10.2025,KARTENZ./24.10 ALDI SUED RO,-126.81,ALDI SUED,Groceries
110,27.10.2025,ABSCHLAG STROM Stadtwerke Rosenheim,-74785072.0,Stadtwerke Rosenheim,Electricity
111,29.12.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-25.07,ZEUS BODYPOWER,Gym
111,31.12.2025,KARTENZ.f31.12EDEKARO,-20.95,EDEKA,Groceries
111,02.01.2025,KARTENZ.02.01REWERO,-64.61,REWE,Groceries
116,11.07.2025,MITGLIEDSBEITRAGZEUSBODYPOWER,-26.5,ZEUS BODYPOWER,Gym
